Questions,Answers
"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
"i know, it does sound pretty awesome.","well, when does the party start?"
"well, when does the party start?",it's supposed to start at about eight.
it's supposed to start at about eight.,how many invitations has she given out?
how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.
is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
i believe that she will give me the invitation today.,are you even going to go?
are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
when exactly does the party start?,the invitation says it starts at 8:00 p.m.
the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
"hey, what's up?",nothing really.
nothing really.,i'm throwing a party on friday.
i'm throwing a party on friday.,i didn't realize that.
i didn't realize that.,you didn't?
you didn't?,nobody has told me anything about your party.
nobody has told me anything about your party.,did you want to go?
did you want to go?,when does it start?
when does it start?,at 8:00 p.m.
at 8:00 p.m.,i'll be there.
i'll be there.,i'd better see you there.
i'd better see you there.,of course.
what's going on with you?,fine. what's going on with you?
fine. what's going on with you?,i'm having a party this friday.
i'm having a party this friday.,i had no idea.
i had no idea.,is that right?
is that right?,i didn't hear anything about it.
i didn't hear anything about it.,can you go?
can you go?,what time?
what time?,it starts at 8 o'clock.
it starts at 8 o'clock.,i'll go.
i'll go.,i hope that i'll see you there.
i hope that i'll see you there.,no doubt.
what's going on?,not much.
not much.,"this friday, i'm throwing a party."
"this friday, i'm throwing a party.",oh really? i didn't know that.
oh really? i didn't know that.,are you serious?
are you serious?,i haven't heard anything about it.
i haven't heard anything about it.,can you make it?
can you make it?,what time does it start?
what time does it start?,the party starts at 8.
the party starts at 8.,"yeah, i think i'll go."
"yeah, i think i'll go.",am i going to see you there?
what's going on?,"nothing really, you?"
"nothing really, you?",i'm throwing a party next saturday.
i'm throwing a party next saturday.,is that right?
is that right?,"yeah, are you going to come?"
"yeah, are you going to come?","i'm sorry, i can't."
"i'm sorry, i can't.",why not?
why not?,i don't really want to.
i don't really want to.,"well, why don't you?"
"well, why don't you?",i hate going to parties.
i hate going to parties.,"well, that's okay."
"well, that's okay.","yeah, sorry."
what's up?,"nothing, how about you?"
"nothing, how about you?","next saturday, i'm going to have a party."
"next saturday, i'm going to have a party.","oh, really?"
"oh, really?",you are coming?
you are coming?,probably not.
probably not.,why is that?
why is that?,i don't feel like going.
i don't feel like going.,why not?
why not?,i really can't stand going to parties.
i really can't stand going to parties.,"i understand, i guess."
"i understand, i guess.",sorry about that.
what's happening?,"not a lot, what about you?"
"not a lot, what about you?",i'm having a party next saturday.
i'm having a party next saturday.,that's nice.
that's nice.,are you going to be there?
